date,site,plot,transect,segment,plant,total_flowers,notes
7/11/17,Pfeiler,Manipulated,M3,1,Ligusticum porteri,15,
7/11/17,Pfeiler,Manipulated,M3,1,Potentilla pulcherrima,6,
7/11/17,Pfeiler,Manipulated,M3,1,Lathyrus leucanthus,9,
7/11/17,Pfeiler,Manipulated,M3,2,Castilleja sulphurea,14,
7/11/17,Pfeiler,Manipulated,M3,2,Ligusticum porteri,10,
7/11/17,Pfeiler,Manipulated,M3,2,Senecio crassulus,3,
7/11/17,Pfeiler,Manipulated,M3,2,Potentilla pulcherrima,7,
7/11/17,Pfeiler,Manipulated,M3,2,Linum lewisii,6,
7/11/17,Pfeiler,Manipulated,M3,2,Lathyrus leucanthus,8,
7/11/17,Pfeiler,Manipulated,M3,2,Ipomopsis aggregata,6,
7/11/17,Pfeiler,Manipulated,M3,2,Helianthella quinquenervis,1,
7/11/17,Pfeiler,Manipulated,M3,3,Senecio crassulus,10,
7/11/17,Pfeiler,Manipulated,M3,3,Ligusticum porteri,4,
7/11/17,Pfeiler,Manipulated,M3,3,Linum lewisii,8,
7/11/17,Pfeiler,Manipulated,M3,3,Castilleja sulphurea,4,
7/11/17,Pfeiler,Manipulated,M3,3,Potentilla pulcherrima,4,
7/11/17,Pfeiler,Manipulated,M3,3,Lathyrus leucanthus,19,
7/11/17,Pfeiler,Manipulated,M3,3,Helianthella quinquenervis,1,
7/11/17,Pfeiler,Manipulated,M3,4,Ligusticum porteri,13,
7/11/17,Pfeiler,Manipulated,M3,4,Castilleja sulphurea,1,
7/11/17,Pfeiler,Manipulated,M3,4,Ipomopsis aggregata,8,
7/11/17,Pfeiler,Manipulated,M3,4,Senecio crassulus,19,
7/11/17,Pfeiler,Manipulated,M3,4,Potentilla pulcherrima,4,
7/11/17,Pfeiler,Manipulated,M3,4,Linum lewisii,8,
7/11/17,Pfeiler,Manipulated,M3,4,Pseudocymopterus montanus,1,
7/11/17,Pfeiler,Manipulated,M3,5,Ligusticum porteri,5,
7/11/17,Pfeiler,Manipulated,M3,5,Ipomopsis aggregata,8,
7/11/17,Pfeiler,Manipulated,M3,5,Potentilla pulcherrima,6,
7/11/17,Pfeiler,Manipulated,M3,5,Senecio crassulus,24,
7/11/17,Pfeiler,Manipulated,M3,5,Helianthella quinquenervis,1,
7/11/17,Pfeiler,Manipulated,M3,5,Linum lewisii,2,
7/11/17,Pfeiler,Control,C1,1,Senecio crassulus,14,
7/11/17,Pfeiler,Control,C1,1,Ligusticum porteri,19,
7/11/17,Pfeiler,Control,C1,1,Potentilla pulcherrima,15,
7/11/17,Pfeiler,Control,C1,1,Lathyrus leucanthus,3,
7/11/17,Pfeiler,Control,C1,2,Ligusticum porteri,3,
7/11/17,Pfeiler,Control,C1,2,Senecio crassulus,10,
7/11/17,Pfeiler,Control,C1,2,Potentilla pulcherrima,3,
7/11/17,Pfeiler,Control,C1,2,Lathyrus leucanthus,2,
7/11/17,Pfeiler,Control,C1,3,Ligusticum porteri,4,
7/11/17,Pfeiler,Control,C1,3,Potentilla pulcherrima,31,
7/11/17,Pfeiler,Control,C1,4,Thalictrum fendleri,42,
7/11/17,Pfeiler,Control,C1,4,Potentilla pulcherrima,56,
7/11/17,Pfeiler,Control,C1,4,Lathyrus leucanthus,1,
7/11/17,Pfeiler,Control,C1,5,Potentilla pulcherrima,52,
7/11/17,Pfeiler,Control,C1,5,Senecio crassulus,3,
7/11/17,Pfeiler,Control,C3,1,Senecio crassulus,4,
7/11/17,Pfeiler,Control,C3,1,Potentilla pulcherrima,18,
7/11/17,Pfeiler,Control,C3,1,Ligusticum porteri,4,
7/11/17,Pfeiler,Control,C3,2,Potentilla pulcherrima,6,
7/11/17,Pfeiler,Control,C3,3,Ligusticum porteri,3,
7/11/17,Pfeiler,Control,C3,3,Potentilla pulcherrima,41,
7/11/17,Pfeiler,Control,C3,3,Senecio crassulus,1,
7/11/17,Pfeiler,Control,C3,4,Ligusticum porteri,4,
7/11/17,Pfeiler,Control,C3,4,Delphinium nuttallianum,2,
7/11/17,Pfeiler,Control,C3,4,Senecio crassulus,4,
7/11/17,Pfeiler,Control,C3,4,Ipomopsis aggregata,2,
7/11/17,Pfeiler,Control,C3,4,Potentilla pulcherrima,73,
7/11/17,Pfeiler,Control,C3,4,Hymenoxys hoopesii,3,
7/11/17,Pfeiler,Control,C3,5,Potentilla pulcherrima,19,
7/11/17,Pfeiler,Control,C3,5,Ligusticum porteri,3,
7/11/17,Pfeiler,Control,C3,5,Delphinium nuttallianum,1,
7/11/17,Pfeiler,Control,C2,5,Ligusticum porteri,4,
7/11/17,Pfeiler,Control,C2,5,Potentilla pulcherrima,28,
7/11/17,Pfeiler,Control,C2,5,Senecio crassulus,2,
7/11/17,Pfeiler,Control,C2,4,Ligusticum porteri,6,
7/11/17,Pfeiler,Control,C2,4,Potentilla pulcherrima,28,
7/11/17,Pfeiler,Control,C2,4,Lathyrus leucanthus,1,
7/11/17,Pfeiler,Control,C2,3,Lathyrus leucanthus,6,
7/11/17,Pfeiler,Control,C2,3,Potentilla pulcherrima,17,
7/11/17,Pfeiler,Control,C2,3,Ligusticum porteri,1,
7/11/17,Pfeiler,Control,C2,3,Castilleja sulphurea,5,
7/11/17,Pfeiler,Control,C2,3,Senecio crassulus,1,
7/11/17,Pfeiler,Control,C2,2,Potentilla pulcherrima,8,
7/11/17,Pfeiler,Control,C2,2,Castilleja sulphurea,52,
7/11/17,Pfeiler,Control,C2,2,Senecio crassulus,19,
7/11/17,Pfeiler,Control,C2,2,Ligusticum porteri,2,
7/11/17,Pfeiler,Control,C2,1,Ligusticum porteri,5,
7/11/17,Pfeiler,Control,C2,1,Senecio crassulus,7,
7/11/17,Pfeiler,Control,C2,1,Potentilla pulcherrima,18,
7/11/17,Pfeiler,Manipulated,M1,1,Delphinium barbeyi,9,
7/11/17,Pfeiler,Manipulated,M1,1,Ligusticum porteri,17,
7/11/17,Pfeiler,Manipulated,M1,1,Lathyrus leucanthus,6,
7/11/17,Pfeiler,Manipulated,M1,1,Helianthella quinquenervis,2,
7/11/17,Pfeiler,Manipulated,M1,1,Senecio crassulus,6,
7/11/17,Pfeiler,Manipulated,M1,1,Potentilla pulcherrima,9,
7/11/17,Pfeiler,Manipulated,M1,2,Potentilla pulcherrima,15,
7/11/17,Pfeiler,Manipulated,M1,2,Ligusticum porteri,15,
7/11/17,Pfeiler,Manipulated,M1,2,Linum lewisii,5,
7/11/17,Pfeiler,Manipulated,M1,2,Senecio crassulus,12,
7/11/17,Pfeiler,Manipulated,M1,2,Helianthella quinquenervis,1,
7/11/17,Pfeiler,Manipulated,M1,2,Lathyrus leucanthus,3,
7/11/17,Pfeiler,Manipulated,M1,3,Senecio crassulus,6,
7/11/17,Pfeiler,Manipulated,M1,3,Vicia americana,11,
7/11/17,Pfeiler,Manipulated,M1,3,Potentilla pulcherrima,7,
7/11/17,Pfeiler,Manipulated,M1,3,Linum lewisii,22,
7/11/17,Pfeiler,Manipulated,M1,3,Ligusticum porteri,1,
7/11/17,Pfeiler,Manipulated,M1,3,Lathyrus leucanthus,7,
7/11/17,Pfeiler,Manipulated,M1,3,Helianthella quinquenervis,1,
7/11/17,Pfeiler,Manipulated,M1,4,Ligusticum porteri,30,
7/11/17,Pfeiler,Manipulated,M1,4,Senecio crassulus,29,
7/11/17,Pfeiler,Manipulated,M1,4,Potentilla pulcherrima,5,
7/11/17,Pfeiler,Manipulated,M1,4,Linum lewisii,4,
7/11/17,Pfeiler,Manipulated,M1,4,Hymenoxys hoopesii,4,
7/11/17,Pfeiler,Manipulated,M1,5,Linum lewisii,15,
7/11/17,Pfeiler,Manipulated,M1,5,Senecio crassulus,36,
7/11/17,Pfeiler,Manipulated,M1,5,Hymenoxys hoopesii,4,
7/11/17,Pfeiler,Manipulated,M1,5,Potentilla pulcherrima,1,
7/11/17,Pfeiler,Manipulated,M1,5,Ligusticum porteri,3,
7/11/17,Pfeiler,Manipulated,M1,5,Lathyrus leucanthus,2,
7/11/17,Pfeiler,Manipulated,M2,5,Linum lewisii,19,
7/11/17,Pfeiler,Manipulated,M2,5,Senecio crassulus,59,
7/11/17,Pfeiler,Manipulated,M2,5,Ligusticum porteri,1,
7/11/17,Pfeiler,Manipulated,M2,5,Potentilla pulcherrima,7,
7/11/17,Pfeiler,Manipulated,M2,5,Lathyrus leucanthus,1,
7/11/17,Pfeiler,Manipulated,M2,4,Senecio crassulus,11,
7/11/17,Pfeiler,Manipulated,M2,4,Linum lewisii,19,
7/11/17,Pfeiler,Manipulated,M2,4,Ligusticum porteri,6,
7/11/17,Pfeiler,Manipulated,M2,4,Potentilla pulcherrima,9,
7/11/17,Pfeiler,Manipulated,M2,4,Lathyrus leucanthus,1,
7/11/17,Pfeiler,Manipulated,M2,3,Senecio crassulus,31,
7/11/17,Pfeiler,Manipulated,M2,3,Ligusticum porteri,3,
7/11/17,Pfeiler,Manipulated,M2,3,Linum lewisii,14,
7/11/17,Pfeiler,Manipulated,M2,3,Potentilla pulcherrima,10,
7/11/17,Pfeiler,Manipulated,M2,3,Lathyrus leucanthus,4,
7/11/17,Pfeiler,Manipulated,M2,3,Castilleja sulphurea,23,
7/11/17,Pfeiler,Manipulated,M2,2,Potentilla pulcherrima,8,
7/11/17,Pfeiler,Manipulated,M2,2,Linum lewisii,18,
7/11/17,Pfeiler,Manipulated,M2,2,Vicia americana,9,
7/11/17,Pfeiler,Manipulated,M2,2,Ligusticum porteri,17,
7/11/17,Pfeiler,Manipulated,M2,2,Castilleja sulphurea,54,
7/11/17,Pfeiler,Manipulated,M2,2,Hymenoxys hoopesii,1,
7/11/17,Pfeiler,Manipulated,M2,2,Lathyrus leucanthus,3,
7/11/17,Pfeiler,Manipulated,M2,1,Senecio crassulus,2,
7/11/17,Pfeiler,Manipulated,M2,1,Ligusticum porteri,6,
7/11/17,Pfeiler,Manipulated,M2,1,Vicia americana,2,
7/11/17,Pfeiler,Manipulated,M2,1,Lathyrus leucanthus,6,
7/13/17,Avery Picnic,Manipulated,M2,1,Potentilla pulcherrima,24,
7/13/17,Avery Picnic,Manipulated,M2,1,Helianthella quinquenervis,1,
7/13/17,Avery Picnic,Manipulated,M2,2,Potentilla pulcherrima,2,
7/13/17,Avery Picnic,Manipulated,M2,3,Potentilla fruticosa,6,
7/13/17,Avery Picnic,Manipulated,M2,3,Potentilla pulcherrima,13,
7/13/17,Avery Picnic,Manipulated,M2,3,Erigeron speciosus,1,
7/13/17,Avery Picnic,Manipulated,M2,4,Potentilla pulcherrima,23,
7/13/17,Avery Picnic,Manipulated,M2,5,Potentilla pulcherrima,22,
7/13/17,Avery Picnic,Manipulated,M2,5,Ligusticum porteri,4,
7/13/17,Avery Picnic,Manipulated,M3,1,Potentilla fruticosa,17,
7/13/17,Avery Picnic,Manipulated,M3,1,Vicia americana,3,
7/13/17,Avery Picnic,Manipulated,M3,2,Potentilla fruticosa,1,
7/13/17,Avery Picnic,Manipulated,M3,2,Potentilla pulcherrima,9,
7/13/17,Avery Picnic,Manipulated,M3,2,Gallium septentrionale,11,
7/13/17,Avery Picnic,Manipulated,M3,3,Potentilla pulcherrima,3,
7/13/17,Avery Picnic,Manipulated,M3,3,Lathyrus leucanthus,2,
7/13/17,Avery Picnic,Manipulated,M1,1,Potentilla pulcherrima,11,
7/13/17,Avery Picnic,Manipulated,M1,2,Erigeron speciosus,1,
7/13/17,Avery Picnic,Manipulated,M1,2,Potentilla pulcherrima,14,
7/13/17,Avery Picnic,Manipulated,M1,3,Potentilla pulcherrima,15,
7/13/17,Avery Picnic,Manipulated,M1,4,Potentilla pulcherrima,9,
7/13/17,Avery Picnic,Manipulated,M1,4,Ligusticum porteri,7,
7/13/17,Avery Picnic,Manipulated,M1,5,Potentilla pulcherrima,24,
7/13/17,Avery Picnic,Manipulated,M1,5,Potentilla fruticosa,1,
7/13/17,Avery Picnic,Manipulated,M1,5,Erigeron speciosus,1,
7/13/17,Avery Picnic,Manipulated,M3,5,Ligusticum porteri,3,
7/13/17,Avery Picnic,Manipulated,M3,5,Potentilla pulcherrima,33,
7/13/17,Avery Picnic,Manipulated,M3,4,Potentilla pulcherrima,14,
7/13/17,Avery Picnic,Manipulated,M3,4,Potentilla fruticosa,2,
7/13/17,Avery Picnic,Control,P3,2,Geranium richardsonii,9,
7/13/17,Avery Picnic,Control,P3,2,Potentilla pulcherrima,4,
7/13/17,Avery Picnic,Control,P3,3,Geranium richardsonii,3,
7/13/17,Avery Picnic,Control,P3,3,Potentilla pulcherrima,11,
7/13/17,Avery Picnic,Control,P5,7,Hymenoxys hoopesii,9,
7/13/17,Avery Picnic,Control,P5,7,Potentilla pulcherrima,8,
7/13/17,Avery Picnic,Control,P5,7,Delphinium barbeyi,76,
7/13/17,Avery Picnic,Control,P5,8,Delphinium barbeyi,55,
7/13/17,Avery Picnic,Control,P5,8,Hymenoxys hoopesii,7,
7/13/17,Avery Picnic,Control,P5,8,Vicia americana,7,
7/13/17,Avery Picnic,Control,P5,8,Geranium richardsonii,2,
7/13/17,Avery Picnic,Control,P5,8,Potentilla pulcherrima,6,
7/13/17,Avery Picnic,Control,P5,9,Potentilla pulcherrima,9,
7/13/17,Avery Picnic,Control,P5,9,Vicia americana,2,
7/13/17,Avery Picnic,Control,P5,9,Delphinium barbeyi,45,
7/13/17,Avery Picnic,Control,P5,10,Vicia americana,1,
7/13/17,Avery Picnic,Control,P5,10,Delphinium barbeyi,14,
7/13/17,Avery Picnic,Control,P5,10,Potentilla pulcherrima,2,
7/13/17,Avery Picnic,Control,P3,10,Potentilla pulcherrima,34,
7/13/17,Avery Picnic,Control,P3,10,Erigeron elatior,1,
7/13/17,Avery Picnic,Control,P3,9,vicia americana,2,
7/13/17,Avery Picnic,Control,P3,9,Potentilla pulcherrima,7,
7/13/17,Avery Picnic,Control,P3,9,Hymenoxys hoopesii,3,
7/13/17,Avery Picnic,Control,P3,8,Delphinium barbeyi,14,
7/13/17,Avery Picnic,Control,P3,8,Vicia americana,3,
7/13/17,Avery Picnic,Control,P3,8,Potentilla pulcherrima,3,
7/13/17,Avery Picnic,Control,P3,7,Potentilla pulcherrima,16,
7/13/17,Avery Picnic,Control,P3,6,Potentilla pulcherrima,8,
7/13/17,Avery Picnic,Control,P3,6,Hymenoxys hoopesii,2,
7/13/17,Avery Picnic,Control,P3,5,Ligusticum porteri,7,
7/13/17,Avery Picnic,Control,P3,5,Delphinium barbeyi,18,
7/13/17,Avery Picnic,Control,P3,5,Geranium richardsonii,2,
7/13/17,Avery Picnic,Control,P3,5,Hymenoxys hoopesii,2,
7/13/17,Avery Picnic,Control,P3,5,Potentilla fruticosa,3,
7/13/17,Avery Picnic,Control,P3,5,Potentilla pulcherrima,8,
7/13/17,Avery Picnic,Control,P3,4,Helianthella quinquenervis,1,
7/13/17,Avery Picnic,Control,P3,4,Potentilla pulcherrima,4,
7/13/17,Avery Picnic,Control,P3,1,Heracleum sphondylium,6,
7/13/17,Avery Picnic,Control,P3,1,Hydrophyllum fendleri,7,
7/13/17,Avery Picnic,Control,P3,1,Potentilla pulcherrima,1,
7/13/17,Avery Picnic,Control,P3,1,Geranium richardsonii,2,
7/13/17,Avery Picnic,Control,P5,1,Geranium richardsonii,6,
7/13/17,Avery Picnic,Control,P5,1,Heracleum sphondylium,2,
7/13/17,Avery Picnic,Control,P5,1,Ligusticum porteri,2,
7/13/17,Avery Picnic,Control,P5,1,Delphinium barbeyi,8,
7/13/17,Avery Picnic,Control,P5,2,Heracleum sphondylium,4,
7/13/17,Avery Picnic,Control,P5,2,Geranium richardsonii,3,
7/13/17,Avery Picnic,Control,P5,2,Hydrophyllum fendleri,4,
7/13/17,Avery Picnic,Control,P5,3,Geranium richardsonii,1,
7/13/17,Avery Picnic,Control,P5,3,Potentilla pulcherrima,11,
7/13/17,Avery Picnic,Control,P5,3,Hymenoxys hoopesii,3,
7/13/17,Avery Picnic,Control,P5,4,Hymenoxys hoopesii,5,
7/13/17,Avery Picnic,Control,P5,4,Potentilla fruticosa,2,
7/13/17,Avery Picnic,Control,P5,5,Hymenoxys hoopesii,5,
7/13/17,Avery Picnic,Control,P5,5,Potentilla pulcherrima,1,
7/13/17,Avery Picnic,Control,P5,6,Delphinium barbeyi,10,
7/13/17,Avery Picnic,Control,P5,6,Geranium richardsonii,15,
7/13/17,Avery Picnic,Control,P5,6,Hymenoxys hoopesii,7,
7/13/17,Avery Picnic,Control,P5,6,Hackelia floribunda,3,
7/13/17,Avery Picnic,Control,P5,6,Ligusticum porteri,1,
7/13/17,Avery Picnic,Control,P5,6,Potentilla pulcherrima,2,
7/13/17,Avery Picnic,Control,P3,10,Hymenoxys hoopesii,30,
7/13/17,Avery Picnic,Control,P1,9,Hymenoxys hoopesii,10,
7/13/17,Avery Picnic,Control,P1,9,Potentilla fruticosa,1,
7/13/17,Avery Picnic,Control,P1,9,Potentilla pulcherrima,22,
7/13/17,Avery Picnic,Control,P1,10,Potentilla pulcherrima,13,
7/13/17,Avery Picnic,Control,P1,8,Potentilla pulcherrima,15,
7/13/17,Avery Picnic,Control,P1,8,Potentilla fruticosa,3,
7/13/17,Avery Picnic,Control,P1,8,Hymenoxys hoopesii,1,
7/13/17,Avery Picnic,Control,P1,7,Potentilla fruticosa,13,
7/13/17,Avery Picnic,Control,P1,7,Delphinium barbeyi,2,
7/13/17,Avery Picnic,Control,P1,7,Vicia americana,1,
7/13/17,Avery Picnic,Control,P1,7,Potentilla pulcherrima,8,
7/13/17,Avery Picnic,Control,P1,7,Hymenoxys hoopesii,1,
7/13/17,Avery Picnic,Control,P1,6,Hymenoxys hoopesii,4,
7/13/17,Avery Picnic,Control,P1,6,Potentilla pulcherrima,22,
7/13/17,Avery Picnic,Control,P1,6,Potentilla fruticosa,1,
7/13/17,Avery Picnic,Control,P1,5,Hymenoxys hoopesii,3,
7/13/17,Avery Picnic,Control,P1,5,Potentilla pulcherrima,8,
7/13/17,Avery Picnic,Control,P1,4,Thalictrum fendleri,35,
7/13/17,Avery Picnic,Control,P1,4,Potentilla pulcherrima,1,
7/13/17,Avery Picnic,Control,P1,3,Lupinus argenteus,20,
7/13/17,Avery Picnic,Control,P1,3,Potentilla pulcherrima,4,
7/13/17,Avery Picnic,Control,P1,2,Potentilla pulcherrima,8,
7/13/17,Avery Picnic,Control,P1,1,Ligusticum porteri,2,
7/13/17,Avery Picnic,Control,P1,1,Thalictrum fendleri,5,
7/17/17,Pfeiler,Control,C1,1,Senecio crassulus,54,
7/17/17,Pfeiler,Control,C1,1,Ligusticum porteri,25,
7/17/17,Pfeiler,Control,C1,1,Castilleja sulphurea,4,
7/17/17,Pfeiler,Control,C1,1,Potentilla pulcherrima,12,
7/17/17,Pfeiler,Control,C1,2,Potentilla pulcherrima,9,
7/17/17,Pfeiler,Control,C1,2,Helianthella quinquenervis,1,
7/17/17,Pfeiler,Control,C1,2,Ligusticum porteri,8,
7/17/17,Pfeiler,Control,C1,2,Senecio crassulus,39,
7/17/17,Pfeiler,Control,C1,2,Fringed mustard ,1,
7/17/17,Pfeiler,Control,C1,3,Potentilla pulcherrima,28,
7/17/17,Pfeiler,Control,C1,3,Ligusticum porteri,4,
7/17/17,Pfeiler,Control,C1,3,Senecio crassulus,7,
7/17/17,Pfeiler,Control,C1,3,Helianthella quinquenervis,1,
7/17/17,Pfeiler,Control,C1,4,Potentilla pulcherrima,44,
7/17/17,Pfeiler,Control,C1,4,Senecio crassulus,2,
7/17/17,Pfeiler,Control,C1,4,Helianthella quinquenervis,2,
7/17/17,Pfeiler,Control,C1,5,Senecio crassulus,11,
7/17/17,Pfeiler,Control,C1,5,Potentilla pulcherrima,52,
7/17/17,Pfeiler,Control,C2,5,Ligusticum porteri,18,
7/17/17,Pfeiler,Control,C2,5,Helianthella quinquenervis,3,
7/17/17,Pfeiler,Control,C2,5,Senecio crassulus,15,
7/17/17,Pfeiler,Control,C2,5,Potentilla pulcherrima,24,
7/17/17,Pfeiler,Control,C2,5,Castilleja sulphurea,10,
7/17/17,Pfeiler,Control,C2,4,Ligusticum porteri,26,
7/17/17,Pfeiler,Control,C2,4,Potentilla pulcherrima,27,
7/17/17,Pfeiler,Control,C2,4,Senecio crassulus,2,
7/17/17,Pfeiler,Control,C2,3,Hymenoxys hoopesii,3,
7/17/17,Pfeiler,Control,C2,3,Ligusticum porteri,4,
7/17/17,Pfeiler,Control,C2,3,Potentilla pulcherrima,13,
7/17/17,Pfeiler,Control,C2,3,Helianthella quinquenervis,2,
7/17/17,Pfeiler,Control,C2,3,Senecio crassulus,5,
7/17/17,Pfeiler,Control,C2,3,Castilleja sulphurea,6,
7/17/17,Pfeiler,Control,C2,2,Castilleja sulphurea,54,
7/17/17,Pfeiler,Control,C2,2,Senecio crassulus,32,
7/17/17,Pfeiler,Control,C2,2,Potentilla pulcherrima,6,
7/17/17,Pfeiler,Control,C2,2,Ligusticum porteri,7,
7/17/17,Pfeiler,Control,C2,1,Ligusticum porteri,4,
7/17/17,Pfeiler,Control,C2,1,Senecio crassulus,40,
7/17/17,Pfeiler,Control,C2,1,Potentilla pulcherrima,28,
7/17/17,Pfeiler,Control,C2,1,Helianthella quinquenervis,1,
7/17/17,Pfeiler,Control,C3,1,Helianthella quinquenervis,6,
7/17/17,Pfeiler,Control,C3,1,Senecio crassulus,15,
7/17/17,Pfeiler,Control,C3,1,Ligusticum porteri,13,
7/17/17,Pfeiler,Control,C3,1,Potentilla pulcherrima,12,
7/17/17,Pfeiler,Control,C3,2,Potentilla pulcherrima,3,
7/17/17,Pfeiler,Control,C3,3,Ligusticum porteri,12,
7/17/17,Pfeiler,Control,C3,3,Helianthella quinquenervis,3,
7/17/17,Pfeiler,Control,C3,3,Senecio crassulus,4,
7/17/17,Pfeiler,Control,C3,3,Potentilla pulcherrima,25,
7/17/17,Pfeiler,Control,C3,4,Potentilla pulcherrima,82,
7/17/17,Pfeiler,Control,C3,4,Ligusticum porteri,7,
7/17/17,Pfeiler,Control,C3,4,Senecio crassulus,19,
7/17/17,Pfeiler,Control,C3,4,Ipomopsis aggregata,11,
7/17/17,Pfeiler,Control,C3,4,Helianthella quinquenervis,1,
7/17/17,Pfeiler,Control,C3,4,Delphinium nuttallianum,1,
7/17/17,Pfeiler,Control,C3,5,Ligusticum porteri,13,
7/17/17,Pfeiler,Control,C3,5,Helianthella quinquenervis,1,
7/17/17,Pfeiler,Control,C3,5,Potentilla pulcherrima,16,
7/17/17,Pfeiler,Control,C3,5,Senecio crassulus,4,
7/17/17,Pfeiler,Manipulated,M2,1,Helianthella quinquenervis,13,
7/17/17,Pfeiler,Manipulated,M2,1,Ligusticum porteri,7,
7/17/17,Pfeiler,Manipulated,M2,1,Senecio crassulus,12,
7/17/17,Pfeiler,Manipulated,M2,1,Delphinium barbeyi,13,
7/17/17,Pfeiler,Manipulated,M2,1,Lathyrus leucanthus,2,
7/17/17,Pfeiler,Manipulated,M2,1,Vicia americana,1,
7/17/17,Pfeiler,Manipulated,M2,1,Erigeron speciosus,1,
7/17/17,Pfeiler,Manipulated,M2,2,Potentilla pulcherrima,17,
7/17/17,Pfeiler,Manipulated,M2,2,Ligusticum porteri,18,
7/17/17,Pfeiler,Manipulated,M2,2,Linum lewisii,22,
7/17/17,Pfeiler,Manipulated,M2,2,Hymenoxys hoopesii,3,
7/17/17,Pfeiler,Manipulated,M2,2,Castilleja sulphurea,16,
7/17/17,Pfeiler,Manipulated,M2,2,Lathyrus leucanthus,1,
7/17/17,Pfeiler,Manipulated,M2,3,Senecio crassulus,89,
7/17/17,Pfeiler,Manipulated,M2,3,Potentilla pulcherrima,8,
7/17/17,Pfeiler,Manipulated,M2,3,Linum lewisii,6,
7/17/17,Pfeiler,Manipulated,M2,3,Castilleja sulphurea,17,
7/17/17,Pfeiler,Manipulated,M2,3,Ligusticum porteri,1,
7/17/17,Pfeiler,Manipulated,M2,3,Hymenoxys hoopesii,1,
7/17/17,Pfeiler,Manipulated,M2,3,Lathyrus leucanthus,2,
7/17/17,Pfeiler,Manipulated,M2,4,Senecio crassulus,30,
7/17/17,Pfeiler,Manipulated,M2,4,Linum lewisii,6,
7/17/17,Pfeiler,Manipulated,M2,4,Potentilla pulcherrima,12,
7/17/17,Pfeiler,Manipulated,M2,4,Ligusticum porteri,2,
7/17/17,Pfeiler,Manipulated,M2,4,Lathyrus leucanthus,3,
7/17/17,Pfeiler,Manipulated,M2,5,Senecio crassulus,120,
7/17/17,Pfeiler,Manipulated,M2,5,Linum lewisii,8,
7/17/17,Pfeiler,Manipulated,M2,5,Potentilla pulcherrima,10,
7/17/17,Pfeiler,Manipulated,M2,5,Lathyrus leucanthus,2,
7/17/17,Pfeiler,Manipulated,M3,1,Linum lewisii,19,
7/17/17,Pfeiler,Manipulated,M3,1,Ligusticum porteri,23,
7/17/17,Pfeiler,Manipulated,M3,1,Potentilla pulcherrima,6,
7/17/17,Pfeiler,Manipulated,M3,1,Senecio crassulus,64,
7/17/17,Pfeiler,Manipulated,M3,1,Helianthella quinquenervis,1,
7/17/17,Pfeiler,Manipulated,M3,1,Achillea millefolium,1,
7/17/17,Pfeiler,Manipulated,M3,1,Lathyrus leucanthus,5,
7/17/17,Pfeiler,Manipulated,M3,1,Thalictrum fendleri,21,
7/17/17,Pfeiler,Manipulated,M3,2,Helianthella quinquenervis,5,
7/17/17,Pfeiler,Manipulated,M3,2,Castilleja sulphurea,86,
7/17/17,Pfeiler,Manipulated,M3,2,Ligusticum porteri,10,
7/17/17,Pfeiler,Manipulated,M3,2,Linum lewisii,8,
7/17/17,Pfeiler,Manipulated,M3,2,Potentilla pulcherrima,9,
7/17/17,Pfeiler,Manipulated,M3,2,Lathyrus leucanthus,6,
7/17/17,Pfeiler,Manipulated,M3,2,Senecio crassulus,5,
7/17/17,Pfeiler,Manipulated,M3,3,Helianthella quinquenervis,2,
7/17/17,Pfeiler,Manipulated,M3,3,Hymenoxys hoopesii,1,
7/17/17,Pfeiler,Manipulated,M3,3,Ipomopsis aggregata,5,
7/17/17,Pfeiler,Manipulated,M3,3,Potentilla pulcherrima,4,
7/17/17,Pfeiler,Manipulated,M3,3,Senecio crassulus,14,
7/17/17,Pfeiler,Manipulated,M3,3,Linum lewisii,1,
7/17/17,Pfeiler,Manipulated,M3,3,Ligusticum porteri,4,
7/17/17,Pfeiler,Manipulated,M3,3,Castilleja sulphurea,12,
7/17/17,Pfeiler,Manipulated,M3,3,Lathyrus leucanthus,21,
7/17/17,Pfeiler,Manipulated,M3,4,Senecio crassulus,40,
7/17/17,Pfeiler,Manipulated,M3,4,Castilleja sulphurea,8,
7/17/17,Pfeiler,Manipulated,M3,4,Ipomopsis aggregata,13,
7/17/17,Pfeiler,Manipulated,M3,4,Potentilla pulcherrima,5,
7/17/17,Pfeiler,Manipulated,M3,4,Ligusticum porteri,10,
7/17/17,Pfeiler,Manipulated,M3,5,Ligusticum porteri,4,
7/17/17,Pfeiler,Manipulated,M3,5,Ipomopsis aggregata,24,
7/17/17,Pfeiler,Manipulated,M3,5,Helianthella quinquenervis,2,
7/17/17,Pfeiler,Manipulated,M3,5,Senecio crassulus,33,
7/17/17,Pfeiler,Manipulated,M3,5,Linum lewisii,2,
7/17/17,Pfeiler,Manipulated,M3,5,Potentilla pulcherrima,7,
7/17/17,Pfeiler,Manipulated,M1,5,Hymenoxys hoopesii,9,
7/17/17,Pfeiler,Manipulated,M1,5,Linum lewisii,1,
7/17/17,Pfeiler,Manipulated,M1,5,Senecio crassulus,48,
7/17/17,Pfeiler,Manipulated,M1,5,Erigeron speciosus,5,
7/17/17,Pfeiler,Manipulated,M1,4,Senecio crassulus,52,
7/17/17,Pfeiler,Manipulated,M1,4,Ligusticum porteri,17,
7/17/17,Pfeiler,Manipulated,M1,4,Hymenoxys hoopesii,4,
